A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,1/11/2017 14:00,2017,1,11,14,27,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 15:00,2017,1,11,15,27,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 16:00,2017,1,11,16,33,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 17:00,2017,1,11,17,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 18:00,2017,1,11,18,38,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 19:00,2017,1,11,19,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 20:00,2017,1,11,20,54,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 21:00,2017,1,11,21,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 22:00,2017,1,11,22,39,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/11/2017 23:00,2017,1,11,23,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 0:00,2017,1,12,0,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 1:00,2017,1,12,1,39,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 2:00,2017,1,12,2,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 3:00,2017,1,12,3,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 4:00,2017,1,12,4,46,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 5:00,2017,1,12,5,50,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 6:00,2017,1,12,6,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 7:00,2017,1,12,7,54,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 8:00,2017,1,12,8,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 9:00,2017,1,12,9,56,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 10:00,2017,1,12,10,56,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 11:00,2017,1,12,11,54,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 12:00,2017,1,12,12,72,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 13:00,2017,1,12,13,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 14:00,2017,1,12,14,89,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 15:00,2017,1,12,15,75,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 16:00,2017,1,12,16,81,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 17:00,2017,1,12,17,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 18:00,2017,1,12,18,71,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 19:00,2017,1,12,19,70,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 20:00,2017,1,12,20,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 21:00,2017,1,12,21,82,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 22:00,2017,1,12,22,77,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/12/2017 23:00,2017,1,12,23,83,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 0:00,2017,1,13,0,88,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 1:00,2017,1,13,1,94,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 2:00,2017,1,13,2,89,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 3:00,2017,1,13,3,97,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 4:00,2017,1,13,4,104,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 5:00,2017,1,13,5,101,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 6:00,2017,1,13,6,103,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 7:00,2017,1,13,7,109,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 8:00,2017,1,13,8,112,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 9:00,2017,1,13,9,134,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 10:00,2017,1,13,10,139,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 11:00,2017,1,13,11,-999,µg/m³,1 Hr,Missing
Shanghai,PM2.5,1/13/2017 12:00,2017,1,13,12,-999,µg/m³,1 Hr,Missing
Shanghai,PM2.5,1/13/2017 13:00,2017,1,13,13,102,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 14:00,2017,1,13,14,116,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 15:00,2017,1,13,15,86,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 16:00,2017,1,13,16,66,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 17:00,2017,1,13,17,59,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 18:00,2017,1,13,18,94,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 19:00,2017,1,13,19,111,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 20:00,2017,1,13,20,146,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 21:00,2017,1,13,21,138,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 22:00,2017,1,13,22,112,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/13/2017 23:00,2017,1,13,23,81,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 0:00,2017,1,14,0,58,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 1:00,2017,1,14,1,56,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 2:00,2017,1,14,2,52,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 3:00,2017,1,14,3,33,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 4:00,2017,1,14,4,27,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 5:00,2017,1,14,5,28,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 6:00,2017,1,14,6,30,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 7:00,2017,1,14,7,32,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 8:00,2017,1,14,8,26,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 9:00,2017,1,14,9,20,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 10:00,2017,1,14,10,20,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 11:00,2017,1,14,11,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 12:00,2017,1,14,12,26,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 13:00,2017,1,14,13,20,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 14:00,2017,1,14,14,18,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 15:00,2017,1,14,15,17,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 16:00,2017,1,14,16,16,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 17:00,2017,1,14,17,19,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 18:00,2017,1,14,18,20,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 19:00,2017,1,14,19,20,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 20:00,2017,1,14,20,29,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 21:00,2017,1,14,21,27,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 22:00,2017,1,14,22,30,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/14/2017 23:00,2017,1,14,23,30,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 0:00,2017,1,15,0,23,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 1:00,2017,1,15,1,21,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 2:00,2017,1,15,2,17,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 3:00,2017,1,15,3,10,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 4:00,2017,1,15,4,14,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 5:00,2017,1,15,5,10,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 6:00,2017,1,15,6,19,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 7:00,2017,1,15,7,11,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 8:00,2017,1,15,8,19,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 9:00,2017,1,15,9,16,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 10:00,2017,1,15,10,12,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 11:00,2017,1,15,11,19,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 12:00,2017,1,15,12,20,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 13:00,2017,1,15,13,13,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 14:00,2017,1,15,14,12,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 15:00,2017,1,15,15,15,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 16:00,2017,1,15,16,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 17:00,2017,1,15,17,22,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 18:00,2017,1,15,18,19,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 19:00,2017,1,15,19,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 20:00,2017,1,15,20,18,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 21:00,2017,1,15,21,26,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 22:00,2017,1,15,22,27,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/15/2017 23:00,2017,1,15,23,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 0:00,2017,1,16,0,23,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 1:00,2017,1,16,1,26,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 2:00,2017,1,16,2,22,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 3:00,2017,1,16,3,22,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 4:00,2017,1,16,4,20,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 5:00,2017,1,16,5,18,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 6:00,2017,1,16,6,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 7:00,2017,1,16,7,21,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 8:00,2017,1,16,8,21,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 9:00,2017,1,16,9,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 10:00,2017,1,16,10,26,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 11:00,2017,1,16,11,30,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 12:00,2017,1,16,12,38,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 13:00,2017,1,16,13,36,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 14:00,2017,1,16,14,28,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 15:00,2017,1,16,15,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 16:00,2017,1,16,16,19,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 17:00,2017,1,16,17,19,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 18:00,2017,1,16,18,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 19:00,2017,1,16,19,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 20:00,2017,1,16,20,27,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 21:00,2017,1,16,21,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 22:00,2017,1,16,22,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/16/2017 23:00,2017,1,16,23,27,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 0:00,2017,1,17,0,28,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 1:00,2017,1,17,1,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 2:00,2017,1,17,2,27,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 3:00,2017,1,17,3,29,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 4:00,2017,1,17,4,41,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 5:00,2017,1,17,5,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 6:00,2017,1,17,6,54,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 7:00,2017,1,17,7,61,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 8:00,2017,1,17,8,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 9:00,2017,1,17,9,58,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 10:00,2017,1,17,10,58,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 11:00,2017,1,17,11,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 12:00,2017,1,17,12,49,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 13:00,2017,1,17,13,50,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 14:00,2017,1,17,14,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 15:00,2017,1,17,15,46,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 16:00,2017,1,17,16,49,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 17:00,2017,1,17,17,50,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 18:00,2017,1,17,18,53,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 19:00,2017,1,17,19,56,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 20:00,2017,1,17,20,50,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 21:00,2017,1,17,21,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 22:00,2017,1,17,22,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/17/2017 23:00,2017,1,17,23,49,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 0:00,2017,1,18,0,32,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 1:00,2017,1,18,1,36,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 2:00,2017,1,18,2,41,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 3:00,2017,1,18,3,36,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 4:00,2017,1,18,4,30,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 5:00,2017,1,18,5,33,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 6:00,2017,1,18,6,29,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 7:00,2017,1,18,7,29,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 8:00,2017,1,18,8,33,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 9:00,2017,1,18,9,33,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 10:00,2017,1,18,10,30,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 11:00,2017,1,18,11,38,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 12:00,2017,1,18,12,31,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 13:00,2017,1,18,13,36,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 14:00,2017,1,18,14,38,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 15:00,2017,1,18,15,52,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 16:00,2017,1,18,16,52,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 17:00,2017,1,18,17,59,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 18:00,2017,1,18,18,60,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 19:00,2017,1,18,19,65,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 20:00,2017,1,18,20,59,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 21:00,2017,1,18,21,60,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 22:00,2017,1,18,22,67,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/18/2017 23:00,2017,1,18,23,67,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 0:00,2017,1,19,0,74,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 1:00,2017,1,19,1,67,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 2:00,2017,1,19,2,71,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 3:00,2017,1,19,3,70,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 4:00,2017,1,19,4,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 5:00,2017,1,19,5,79,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 6:00,2017,1,19,6,87,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 7:00,2017,1,19,7,86,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 8:00,2017,1,19,8,94,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 9:00,2017,1,19,9,88,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 10:00,2017,1,19,10,77,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 11:00,2017,1,19,11,83,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 12:00,2017,1,19,12,77,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 13:00,2017,1,19,13,85,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 14:00,2017,1,19,14,93,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 15:00,2017,1,19,15,96,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 16:00,2017,1,19,16,99,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 17:00,2017,1,19,17,91,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 18:00,2017,1,19,18,109,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 19:00,2017,1,19,19,120,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 20:00,2017,1,19,20,124,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 21:00,2017,1,19,21,125,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 22:00,2017,1,19,22,112,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/19/2017 23:00,2017,1,19,23,127,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 0:00,2017,1,20,0,142,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 1:00,2017,1,20,1,185,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 2:00,2017,1,20,2,188,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 3:00,2017,1,20,3,188,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 4:00,2017,1,20,4,134,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 5:00,2017,1,20,5,112,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 6:00,2017,1,20,6,114,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 7:00,2017,1,20,7,123,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 8:00,2017,1,20,8,109,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 9:00,2017,1,20,9,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 10:00,2017,1,20,10,64,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 11:00,2017,1,20,11,36,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 12:00,2017,1,20,12,30,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 13:00,2017,1,20,13,28,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 14:00,2017,1,20,14,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 15:00,2017,1,20,15,27,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 16:00,2017,1,20,16,19,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 17:00,2017,1,20,17,30,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 18:00,2017,1,20,18,26,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 19:00,2017,1,20,19,29,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 20:00,2017,1,20,20,26,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 21:00,2017,1,20,21,27,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 22:00,2017,1,20,22,26,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/20/2017 23:00,2017,1,20,23,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 0:00,2017,1,21,0,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 1:00,2017,1,21,1,26,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 2:00,2017,1,21,2,26,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 3:00,2017,1,21,3,27,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 4:00,2017,1,21,4,29,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 5:00,2017,1,21,5,30,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 6:00,2017,1,21,6,33,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 7:00,2017,1,21,7,31,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 8:00,2017,1,21,8,41,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 9:00,2017,1,21,9,42,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 10:00,2017,1,21,10,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 11:00,2017,1,21,11,38,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 12:00,2017,1,21,12,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 13:00,2017,1,21,13,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 14:00,2017,1,21,14,48,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 15:00,2017,1,21,15,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 16:00,2017,1,21,16,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 17:00,2017,1,21,17,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 18:00,2017,1,21,18,63,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 19:00,2017,1,21,19,67,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 20:00,2017,1,21,20,70,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 21:00,2017,1,21,21,69,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 22:00,2017,1,21,22,71,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/21/2017 23:00,2017,1,21,23,65,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 0:00,2017,1,22,0,71,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 1:00,2017,1,22,1,81,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 2:00,2017,1,22,2,85,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 3:00,2017,1,22,3,71,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 4:00,2017,1,22,4,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 5:00,2017,1,22,5,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 6:00,2017,1,22,6,81,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 7:00,2017,1,22,7,82,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 8:00,2017,1,22,8,54,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 9:00,2017,1,22,9,42,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 10:00,2017,1,22,10,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 11:00,2017,1,22,11,52,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 12:00,2017,1,22,12,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 13:00,2017,1,22,13,59,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 14:00,2017,1,22,14,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 15:00,2017,1,22,15,39,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 16:00,2017,1,22,16,32,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 17:00,2017,1,22,17,33,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 18:00,2017,1,22,18,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 19:00,2017,1,22,19,34,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 20:00,2017,1,22,20,25,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 21:00,2017,1,22,21,22,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 22:00,2017,1,22,22,24,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/22/2017 23:00,2017,1,22,23,27,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/23/2017 0:00,2017,1,23,0,22,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/23/2017 1:00,2017,1,23,1,26,µg/m³,1 Hr,Valid
