A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/3.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/3.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Guangzhou,PM2.5,1/1/2016 0:00,2016,1,1,0,55,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 1:00,2016,1,1,1,58,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 2:00,2016,1,1,2,59,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 3:00,2016,1,1,3,58,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 4:00,2016,1,1,4,51,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 5:00,2016,1,1,5,51,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 6:00,2016,1,1,6,45,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 7:00,2016,1,1,7,49,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 8:00,2016,1,1,8,51,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 9:00,2016,1,1,9,55,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 10:00,2016,1,1,10,52,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 11:00,2016,1,1,11,51,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 12:00,2016,1,1,12,66,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 13:00,2016,1,1,13,61,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 14:00,2016,1,1,14,63,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 15:00,2016,1,1,15,65,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 16:00,2016,1,1,16,63,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 17:00,2016,1,1,17,58,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 18:00,2016,1,1,18,60,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 19:00,2016,1,1,19,67,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 20:00,2016,1,1,20,69,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 21:00,2016,1,1,21,76,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 22:00,2016,1,1,22,69,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/1/2016 23:00,2016,1,1,23,78,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 0:00,2016,1,2,0,81,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 1:00,2016,1,2,1,90,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 2:00,2016,1,2,2,90,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 3:00,2016,1,2,3,78,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 4:00,2016,1,2,4,90,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 5:00,2016,1,2,5,80,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 6:00,2016,1,2,6,70,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 7:00,2016,1,2,7,72,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 8:00,2016,1,2,8,72,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 9:00,2016,1,2,9,71,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 10:00,2016,1,2,10,77,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 11:00,2016,1,2,11,68,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 12:00,2016,1,2,12,63,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 13:00,2016,1,2,13,57,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 14:00,2016,1,2,14,42,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 15:00,2016,1,2,15,34,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 16:00,2016,1,2,16,38,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 17:00,2016,1,2,17,44,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 18:00,2016,1,2,18,49,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 19:00,2016,1,2,19,67,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 20:00,2016,1,2,20,71,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 21:00,2016,1,2,21,75,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 22:00,2016,1,2,22,106,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/2/2016 23:00,2016,1,2,23,117,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 0:00,2016,1,3,0,129,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 1:00,2016,1,3,1,127,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 2:00,2016,1,3,2,133,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 3:00,2016,1,3,3,140,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 4:00,2016,1,3,4,142,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 5:00,2016,1,3,5,136,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 6:00,2016,1,3,6,131,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 7:00,2016,1,3,7,129,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 8:00,2016,1,3,8,148,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 9:00,2016,1,3,9,153,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 10:00,2016,1,3,10,164,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 11:00,2016,1,3,11,121,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 12:00,2016,1,3,12,116,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 13:00,2016,1,3,13,112,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 14:00,2016,1,3,14,98,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 15:00,2016,1,3,15,91,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 16:00,2016,1,3,16,80,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 17:00,2016,1,3,17,79,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 18:00,2016,1,3,18,120,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 19:00,2016,1,3,19,141,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 20:00,2016,1,3,20,131,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,1/3/2016 21:00,2016,1,3,21,124,µg/m³,1 Hr,Valid
